time,value
0.0,0.008176760561683318
4.0,-0.0026971105822618424
8.0,0.0065651547460397275
12.0,-0.0011513967416821964
16.0,0.008835683640218401
20.0,-0.009180412873513729
24.0,0.013792985604999653
28.0,0.003943097442906386
32.0,-0.012419475350865643
36.0,-0.0013390079104496227
40.0,0.016468176969574463
44.0,0.001434281469240278
48.0,-0.01112124357602331
52.0,0.004088887754260983
56.0,0.007701484076689448
60.0,0.0023603798789527826
64.0,-0.010844699851261796
68.0,-0.00684231812874514
72.0,0.002904103976033754
76.0,0.0010475461297078184
80.0,-0.009939612071075162
84.0,0.0003770475865497194
88.0,0.002131099381952482
92.0,0.003952345876822949
96.0,-0.028715542343527523
100.0,-0.0014614248444031078
104.0,-0.014666838967490976
108.0,0.014540288885345962
112.0,0.014262905261641137
116.0,-0.009014492340774208
120.0,-0.01104900221359769
124.0,-0.004682227578727601
128.0,-0.020904017857527334
132.0,-0.01750028835021027
136.0,-0.01632039628534112
140.0,0.012362886774355566
144.0,0.009134009963839186
148.0,-0.001337158618650785
152.0,0.02381472953872503
156.0,-0.00017260649702998578
160.0,-0.005600305136248564
164.0,-0.0006741611382777103
168.0,0.007162876562782632
172.0,0.0011819139567241484
176.0,0.006164094030690462
180.0,0.005718158210346631
184.0,-0.004185387456365604
188.0,-0.0048247180393227234
192.0,-0.005170519037085506
196.0,-0.014907576102834455
200.0,-0.015179230807295207
204.0,0.01612773453728699
208.0,0.008318398252747964
212.0,0.013393373448397502
216.0,0.0054531701399301935
220.0,0.0007617018112388191
224.0,-0.002485935080535437
228.0,-0.0020040484323621426
232.0,0.01767789284256802
236.0,-0.0015624918276811387
240.0,0.007962606275122307
244.0,-0.006345151459318055
248.0,-0.001765026588271941
252.0,0.010580072256980879
256.0,0.015875747215192554
260.0,-0.004658427436965198
264.0,-0.007026213849626
268.0,-0.0012428315917486022
272.0,-0.026106854403761783
276.0,-0.004356682800766942
280.0,-0.0002027440460516027
284.0,-0.006882503763708403
288.0,-0.007129168934545714
292.0,-0.006235531633025231
296.0,0.002666009492776059
300.0,-0.00146699778992957
304.0,0.0024984429747186092
308.0,-0.013486473016250385
312.0,-0.0143618310312161
316.0,-0.0021049198136337253
320.0,-0.002142353866798247
324.0,0.0039664422786496525
328.0,-0.018541985321368477
332.0,-0.005866207667345803
336.0,-0.004026282551813607
340.0,-0.0005963999156409323
344.0,0.002443911317780828
348.0,0.00321411187284742
352.0,-0.009075476518603985
356.0,0.006208176929507067
360.0,0.008627231773658052
364.0,-0.011236067641398865
368.0,0.010734704802457506
372.0,-0.00816642588914871
376.0,-0.0024550530177003304
380.0,0.001857122378094103
384.0,0.018597394388590163
388.0,-0.0028601765712047817
392.0,-0.007622106354128617
396.0,0.010508879417875008
400.0,0.016137579279524562
404.0,0.0015000569806182277
408.0,0.016437022856208253
412.0,0.006435195002424697
416.0,0.013170116704399382
420.0,-0.008202117163530243
424.0,0.011797112315496705
428.0,0.006371492717329675
432.0,0.0032001174768889447
436.0,-0.014669603755766933
440.0,0.01585873502651272
444.0,-0.008833261671586566
448.0,-0.00022218577515637546
452.0,0.016051570083871675
456.0,-0.010912313211096288
460.0,0.005237539811797898
464.0,0.006239933926710601
468.0,-0.01712245888589912
472.0,-0.005387665606972677
476.0,0.002021277575813114
480.0,-0.011392832130260393
484.0,-0.008899188272119236
488.0,0.009245467440886501
492.0,0.017353464337980448
496.0,-0.0022112607744717654
500.0,0.01423623326395785
504.0,-0.004691584185106768
508.0,0.0155875637335622
512.0,-0.0027978062926412007
516.0,0.00477049058151389
520.0,0.0026459637433248417
524.0,0.02032824807451983
528.0,0.005493121971237136
532.0,-0.017729182238041447
536.0,0.011723434643305074
540.0,0.005772451007749652
544.0,0.03079291902837611
548.0,0.052692243768453856
552.0,0.09081621436424514
556.0,0.11834127674443193
560.0,0.14023921824510902
564.0,0.19144888911755126
568.0,0.21023820699434714
572.0,0.22382399279981502
576.0,0.23816461859414642
580.0,0.24833788099649673
584.0,0.2527535473402092
588.0,0.2617854595428695
592.0,0.26543935946248326
596.0,0.25611171693229995
600.0,0.2636184309750062
604.0,0.2319669936523418
608.0,0.21773833351662514
612.0,0.2105018694621491
616.0,0.16279214853451693
620.0,0.1584220784412307
624.0,0.12863813761498272
628.0,0.10795953712438362
632.0,0.059286851882030714
636.0,0.025768712409335728
640.0,0.004343170389553104
644.0,0.004526869499988172
648.0,-0.0012749218760152905
652.0,0.005729458562152491
656.0,-0.0031866510712951265
660.0,0.016295141007303133
664.0,-0.005860714807759003
668.0,0.004726577012552598
672.0,-0.0002433491850487674
676.0,0.0087789964643878
680.0,-0.007356798323002377
684.0,-0.03647829742952601
688.0,-0.07622384345197512
692.0,-0.11802678737313602
696.0,-0.16356089965230006
700.0,-0.004550682161324813
704.0,0.10445544474568828
708.0,0.20663306893096287
712.0,0.2984048435191351
716.0,0.4186903232939827
720.0,0.5245512237137481
724.0,0.6375230336801662
728.0,0.7355658114809959
732.0,0.8167447584607186
736.0,0.9721790491634773
740.0,1.0505043028756682
744.0,0.9390851790518238
748.0,0.8404344028559603
752.0,0.7397526380180035
756.0,0.6309104554093158
760.0,0.5403055697371567
764.0,0.4228426741011878
768.0,0.31972491703519856
772.0,0.20942847753185448
776.0,0.09791867060208159
780.0,0.01657352695792065
784.0,-0.0815368043731629
788.0,-0.11601775597116995
792.0,-0.17733234429379346
796.0,-0.24438955423903402
800.0,-0.3243452995208377
804.0,-0.24290959023267497
808.0,-0.17953021225791996
812.0,-0.13502583689145747
816.0,-0.06334038860713187
820.0,-0.051582027941187436
824.0,-0.03917502545326663
828.0,-0.032672128753159314
832.0,-0.044820489366771514
836.0,-0.04267469152697695
840.0,-0.04916707709055277
844.0,-0.028492006941799746
848.0,-0.03754400892228375
852.0,-0.01691178441498923
856.0,-0.037343296675043755
860.0,-0.036913954787913275
864.0,-0.0226039967953032
868.0,-0.03179739808399155
872.0,-0.003873745845895532
876.0,-0.020387819518826105
880.0,-0.016218689529913073
884.0,-0.0015674029301264627
888.0,-0.016505546320625418
892.0,0.015912481513525124
896.0,0.008405654568821152
900.0,-0.0035625688453150913
904.0,0.011985456265513787
908.0,0.04213457979178556
912.0,0.07286679327183793
916.0,0.08151063046925086
920.0,0.09534718043377255
924.0,0.13968283436827658
928.0,0.1725298419526583
932.0,0.17624476271465234
936.0,0.19539138273303522
940.0,0.2031941866767554
944.0,0.24486039124145734
948.0,0.25545870947661764
952.0,0.26477278556501144
956.0,0.28220753566271123
960.0,0.29556155248675897
964.0,0.28252172511962875
968.0,0.31603863020900724
972.0,0.31583923381666784
976.0,0.3130628653713652
980.0,0.30490044417466144
984.0,0.2967675231756895
988.0,0.2951718504511219
992.0,0.29542512149093775
996.0,0.28414834773158115
1000.0,0.2906799963470796
1004.0,0.275547028263111
1008.0,0.28987378703785355
1012.0,0.2503877503894503
1016.0,0.2350405380712143
1020.0,0.2238020580543149
1024.0,0.2216864463112613
1028.0,0.17572071488158655
1032.0,0.13780546207230332
1036.0,0.15516792157688158
